player_name,player_height,pts,reb,ast,label
Blue Edwards,193.04,7.8,3.1,1.9,1
Bo Outlaw,203.2,7.6,5.5,1.9,3
Bob Sura,195.58,9.2,3.8,4.8,4
Bobby Hurley,182.88,2.9,0.8,3.0,1
Bobby Phills,195.58,12.6,3.6,3.4,4
Brad Lohaus,210.82,1.7,1.2,0.2,0
Brent Barry,198.12,7.5,1.9,2.6,1
Brent Price,185.42,5.0,1.2,2.6,1
Brent Scott,208.28,1.2,0.6,0.2,0
Brett Szabo,210.82,2.2,2.4,0.2,0
Brian Evans,203.2,1.4,0.6,0.5,0
Brian Grant,205.74,10.5,5.9,1.2,3
Brian Shaw,198.12,7.2,2.5,4.1,1
Arvydas Sabonis,220.98,13.4,7.9,2.1,2
Armen Gilliam,205.74,8.6,6.2,0.7,3
Antonio McDyess,205.74,18.3,7.3,1.4,2
Antonio Lang,203.2,2.7,2.0,0.5,0
A.C. Green,205.74,7.2,7.9,0.8,3
Aaron McKie,195.58,5.2,2.7,1.9,1
Aaron Williams,205.74,6.2,4.3,0.5,3
Acie Earl,210.82,4.0,2.0,0.4,0
Adam Keefe,205.74,3.8,3.5,0.5,0
Adrian Caldwell,203.2,2.2,3.7,0.3,0
Alan Henderson,205.74,6.6,3.9,0.8,3
Aleksandar Djordjevic,187.96,3.1,0.6,0.6,1
Allan Houston,198.12,14.8,3.0,2.2,3
Allen Iverson,182.88,23.5,4.1,7.5,4
Alonzo Mourning,208.28,19.8,9.9,1.6,2
Brooks Thompson,193.04,6.6,1.4,2.7,1
Alton Lister,213.36,1.6,3.2,0.2,0
Andrew DeClercq,208.28,5.3,4.2,0.5,3
Andrew Lang,210.82,5.3,5.3,0.5,3
Anfernee Hardaway,200.66,20.5,4.5,5.6,4
Anthony Goldwire,187.96,6.5,1.4,3.7,1
Anthony Mason,203.2,16.2,11.4,5.7,2
Anthony Miller,205.74,0.0,7.0,0.0,3
Anthony Peeler,193.04,14.5,3.4,3.6,4
Antoine Carr,205.74,7.4,2.4,0.9,0
Antoine Walker,205.74,17.5,9.0,3.2,2
Antonio Davis,205.74,10.5,7.3,0.8,3
Antonio Harvey,210.82,2.5,1.7,0.2,0
Amal McCaskill,210.82,1.6,1.3,0.4,0
Bruce Bowen,200.66,0.0,0.0,0.0,0
Bryant Reeves,213.36,16.2,8.1,2.1,2
Bryant Stith,195.58,14.9,4.2,2.6,3
Clifford Robinson,208.28,15.1,4.0,3.2,3
Clifford Rozier,210.82,4.5,5.6,0.7,3
Clyde Drexler,200.66,18.0,6.0,5.7,4
Corie Blount,208.28,4.2,4.8,0.6,3
Corliss Williamson,200.66,11.6,4.1,1.6,3
Cory Alexander,185.42,7.2,1.5,3.2,1
Craig Ehlo,198.12,3.5,1.8,1.1,0
Cuonzo Martin,195.58,0.0,0.3,0.3,0
Dale Davis,210.82,10.4,9.7,0.7,2
Dale Ellis,200.66,16.6,3.6,2.0,3
Damon Stoudamire,177.8,20.2,4.1,8.8,4
Clar. Weatherspoon,200.66,12.2,8.3,1.7,2
Dan Majerle,198.12,10.8,4.5,3.2,3
Dana Barros,180.34,12.5,2.0,3.4,1
Danny Ferry,208.28,10.6,4.1,1.8,3
Danny Manning,208.28,13.5,6.1,2.2,3
Darrell Armstrong,185.42,6.1,1.1,2.6,1
Darrick Martin,180.34,10.9,1.4,4.1,1
Darrin Hancock,200.66,1.8,0.8,0.5,0
Darvin Ham,200.66,2.3,1.6,0.4,0
David Robinson,215.9,17.7,8.5,1.3,2
David Vaughn,205.74,2.3,2.7,0.2,0
David Wesley,185.42,16.8,3.6,7.3,4
David Wingate,195.58,3.6,1.1,1.2,1
Dan Schayes,210.82,3.0,2.8,0.3,0
Jerome Allen,193.04,3.0,1.3,2.0,1
Chucky Brown,203.2,2.9,2.1,0.4,0
Chris Whitney,182.88,5.2,1.3,2.2,1
Bryon Russell,200.66,10.8,4.1,1.5,3
Buck Williams,203.2,6.3,5.4,0.7,3
Byron Scott,193.04,6.7,1.5,1.3,1
Calbert Cheaney,200.66,10.6,3.4,1.4,3
Carl Herrera,205.74,8.0,4.5,0.7,3
Carl Thomas,193.04,1.1,0.7,0.4,0
Carlos Rogers,210.82,9.8,5.4,0.7,3
Cedric Ceballos,200.66,14.6,6.6,1.3,3
Charles Barkley,198.12,19.2,13.5,4.7,2
Charles Jones,205.74,0.3,1.1,0.3,0
Charles Oakley,205.74,10.8,9.8,2.8,2
Christian Laettner,210.82,18.1,8.8,2.7,2
Charles Smith,208.28,4.6,3.4,0.7,0
Cherokee Parks,210.82,3.3,2.6,0.4,0
Chris Carr,198.12,6.1,2.1,0.9,0
Chris Childs,190.5,9.3,2.9,6.1,4
Chris Dudley,210.82,3.9,7.3,0.5,3
Chris Gatling,208.28,19.0,7.9,0.6,2
